Cust_ID,FirstName,LastName,email,Gender,Age,CountryRes
C_0001,Deck,Scurr,dscurrrq@disqus.com,Male,27,United States
C_0002,Luz,Waine,lwainerp@marketwatch.com,Female,65,China
C_0003,Bryon,Lampert,blampertro@archive.org,Male,59,Mauritania
C_0004,Buddie,Downie,bdowniern@soup.io,Male,29,Pakistan
C_0005,Kirby,Pavluk,kpavlukrm@amazon.com,Male,49,Indonesia
C_0006,Gabi,Makey,gmakeyrl@blinklist.com,Male,54,France
C_0007,Nanice,Meehan,nmeehanrk@usnews.com,Female,64,Indonesia
C_0008,Eva,Cornelleau,ecornelleaurj@livejournal.com,Female,56,Poland
C_0009,Phedra,Whewill,pwhewillri@census.gov,Female,51,Czech Republic
C_0010,Heddie,Murphy,hmurphyrh@naver.com,Female,32,China
C_0011,Celesta,Whittam,cwhittam2q@surveymonkey.com,Female,44,Portugal
C_0012,Josephine,MacCaull,jmaccaullrg@newyorker.com,Female,51,United Kingdom
C_0013,Bevon,Collicott,bcollicottrf@statcounter.com,Male,53,China
C_0014,Codi,Rossiter,crossiterre@blog.com,Male,42,Mexico
C_0015,Rici,Bazek,rbazekrd@jalbum.net,Female,22,Philippines
C_0016,Charo,Blackadder,cblackadderrc@sbwire.com,Male,50,Philippines
C_0017,Dane,Northcote,dnorthcoterb@smh.com.au,Male,34,Indonesia
C_0018,Bennett,Turney,bturneyra@china.com.cn,Male,62,Indonesia
C_0019,Trude,Glasheen,tglasheenr9@nhs.uk,Female,18,Poland
C_0020,Siobhan,Sommerscales,ssommerscalesr8@friendfeed.com,Female,26,Argentina
C_0021,Rosemary,Pes,rpesr7@forbes.com,Female,57,Indonesia
C_0022,Wilhelmine,Purcell,wpurcell2p@cpanel.net,Female,32,Brazil
C_0023,Daron,Beiderbecke,dbeiderbecker6@census.gov,Female,52,China
C_0024,Kettie,Samwaye,ksamwayer5@drupal.org,Female,22,France
C_0025,Gustave,Venes,gvenesr4@goo.ne.jp,Male,60,Chad
C_0026,Kellby,Balmforth,kbalmforthr3@booking.com,Male,69,Nigeria
C_0027,Lorne,Mityashin,lmityashinr2@cbsnews.com,Female,27,China
C_0028,Abram,McAneny,amcanenyr1@usa.gov,Male,42,Portugal
C_0029,Ninnette,Wade,nwader0@nih.gov,Female,32,Indonesia
C_0030,Wadsworth,Younghusband,wyounghusbandqz@bbc.co.uk,Male,46,Indonesia
C_0031,Marlon,Reynard,mreynardqy@addthis.com,Male,26,Sri Lanka
C_0032,Guilbert,Marrow,gmarrowqx@etsy.com,Male,45,Macedonia
C_0033,Biron,Rofe,brofe2o@ed.gov,Male,61,Qatar
C_0034,Ferd,Hilling,fhillingqw@dion.ne.jp,Male,17,Japan
